Date,Name,Neighborhood,Price,URL,Recommend?
May 23,Beautiful furnished Mission Loft Valencia in Mission,(mission district),$4100,http://sfbay.craigslist.org/sfc/apa/5579625703.html,N/A
May 23,"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5590891027.html,YES
May 23,"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5594872768.html,YES
May 23,"Spacious Tri-Level Loft w/ 2 Entrances, Roof deck & Pkg in Dogpatch",(potrero hill),$4800,http://sfbay.craigslist.org/sfc/apa/5570918256.html,N/A
May 23,Expansive Tri-Level L/W Loft w/ Pkg in SOMA,(SOMA / south beach),$5100,http://sfbay.craigslist.org/sfc/apa/5570907913.html,YES
May 23,Large Live/Work Loft,(potrero hill),$3650,http://sfbay.craigslist.org/sfc/apa/5600730857.html,N/A
May 23,Mid Market | Loft #118 | In-Unit Lndry | Roof Deck | Stevenson Lofts,(SOMA / south beach),$2875,http://sfbay.craigslist.org/sfc/apa/5600633447.html,YES
May 23,"Modern 2bd/2bth Loft w/ALL Amenities, Parking Included!",(SOMA / south beach),$4800,http://sfbay.craigslist.org/sfc/apa/5570169114.html,YES
May 23,"ID#1498: SOMA 1BR/2BA Live/Work Loft w/Deck, Pkg",(SOMA / south beach),$3900,http://sfbay.craigslist.org/sfc/apa/5575015898.html,YES
May 23,SOMA BI-LEVEL LOFT W/ BALCONY,(SOMA / south beach),$4200,http://sfbay.craigslist.org/sfc/apa/5600535563.html,YES
May 23,"Bi-Level Loft in SOMA, 3 Bedroom PLUS",(SOMA / south beach),$5800,http://sfbay.craigslist.org/sfc/apa/5600480854.html,YES
May 23,Large open space rare modern loft designed by Stanley Saitowitz,(SOMA / south beach),$4250,http://sfbay.craigslist.org/sfc/apa/5594595844.html,YES
May 22,Live Work Loft in SF Soma,(downtown / civic / van ness),$2195,http://sfbay.craigslist.org/sfc/apa/5563890207.html,N/A
May 22,"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",(SOMA / south beach),$3450,http://sfbay.craigslist.org/sfc/apa/5599333569.html,YES
May 22,"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",(SOMA / south beach),$4850,http://sfbay.craigslist.org/sfc/apa/5599327673.html,YES
May 22,Top Floor Spacious Corner Unit 2-Level Loft in,(SOMA / south beach),$3800,http://sfbay.craigslist.org/sfc/apa/5598841987.html,YES
May 22,1 Ecker XL Historic 3 Level LOFT W/ DEN + LG Basement Yerba Buena,(SOMA / south beach),$5695,http://sfbay.craigslist.org/sfc/apa/5582705058.html,YES
May 21,Elegantly Furnished Loft *Turnkey* AMSI Scott Russell Jr,(financial district),$4995,http://sfbay.craigslist.org/sfc/apa/5572144000.html,N/A
May 21,"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5597593813.html,YES
May 21,Elegantly Furnished Loft *Turnkey* AMSI Scott Russell Jr,(financial district),$4995,http://sfbay.craigslist.org/sfc/apa/5580208983.html,N/A
May 20,"Bi-Level Live/Work Loft w/ Frplce, & Parking",(SOMA / south beach),$3800,http://sfbay.craigslist.org/sfc/apa/5592805518.html,YES
May 20,Dogpatch Loft 2 Bedroom 2 Bath Potrero Square,(potrero hill),$4500,http://sfbay.craigslist.org/sfc/apa/5596205560.html,N/A
May 20,WOW-FACTOR TRIPLEX LOFT,(SOMA / south beach),$5550,http://sfbay.craigslist.org/sfc/apa/5567344111.html,YES
May 20,Live/Work Loft with Sunny Windows,(SOMA / south beach),$2195,http://sfbay.craigslist.org/sfc/apa/5563905535.html,YES
May 20,"Massive Loft with Private Garden, Parking Included",(potrero hill),$3975,http://sfbay.craigslist.org/sfc/apa/5559388658.html,N/A
May 20,Harrison @ 20th -- Loft. 1-2 BR / 1.5BA + Office Zone. Views. Garage,(mission district),$4480,http://sfbay.craigslist.org/sfc/apa/5595505371.html,N/A
May 20,"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",(SOMA / south beach),$3450,http://sfbay.craigslist.org/sfc/apa/5595270259.html,YES
May 20,"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",(SOMA / south beach),$4850,http://sfbay.craigslist.org/sfc/apa/5595265507.html,YES
May 19,"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5594871431.html,YES
May 19,"2BD 2.5BA Expansive Tri-Level Soma Loft, Garage Parking, Pets OK",(SOMA / south beach),$4600,http://sfbay.craigslist.org/sfc/apa/5594860944.html,YES
May 19,One level loft with private patio,(SOMA / south beach),$3900,http://sfbay.craigslist.org/sfc/apa/5572333287.html,YES
May 19,"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5594668646.html,YES
May 19,"Luxury,Loft, THREE LEVELS,2 & 1 1/2 BATHS,W/D in loft,easyFWY access",(SOMA / south beach),$4400,http://sfbay.craigslist.org/sfc/apa/5594647136.html,YES
May 19,"LUXURY loft,@ hearth/Soma2full B/rsF/P,patioW/D in loft,easyFWYaccess",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5594627249.html,YES
May 19,One of a Kind Loft with Amazing Location,(SOMA / south beach),$2195,http://sfbay.craigslist.org/sfc/apa/5563882005.html,YES
May 19,Unique Loft with Prime Location,(downtown / civic / van ness),$2195,http://sfbay.craigslist.org/sfc/apa/5568302751.html,N/A
May 19,Loft with Great Central Location (Couples Welcome),(tenderloin),$2195,http://sfbay.craigslist.org/sfc/apa/5586139783.html,NO
May 18,Mid Market | Loft #118 | In-Unit Lndry | Roof Deck | Stevenson Lofts,(SOMA / south beach),$2995,http://sfbay.craigslist.org/sfc/apa/5593001587.html,YES
May 17,Furnished Designer Loft for Rent,(hayes valley),$5000,http://sfbay.craigslist.org/sfc/apa/5583129102.html,N/A
May 17,2 Bed 2 Bath Loft in SOMA with parking and laundry!,(SOMA / south beach),$4500,http://sfbay.craigslist.org/sfc/apa/5591109990.html,YES
May 17,"Large Bi-level Loft near Caltrain, 22nd St Station",(potrero hill),$3300,http://sfbay.craigslist.org/sfc/apa/5591010879.html,N/A
May 17,"Spacious Loft with View, W/D in unit and Parking included",(mission district),$3950,http://sfbay.craigslist.org/sfc/apa/5590886495.html,N/A
May 17,"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",(SOMA / south beach),$3450,http://sfbay.craigslist.org/sfc/apa/5590187285.html,YES
May 17,"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",(SOMA / south beach),$4850,http://sfbay.craigslist.org/sfc/apa/5590185474.html,YES
May 16,Cozy and newly remodeled 1br loft in SOMA!,(SOMA / south be,$2300,http://sfbay.craigslist.org/sfc/apa/5589906932.html,YES
